"X","Y","Z"
1482.41,1294.80,97.26
1482.42,1294.57,97.27
1482.44,1294.95,97.24
1482.44,1294.88,97.27
1482.43,1294.87,97.27
1482.38,1294.73,97.25
1482.39,1294.71,97.26
1482.26,1294.64,97.23
1482.31,1294.69,97.20
1482.02,1294.61,97.19
1482.04,1294.60,97.20
1482.26,1294.55,97.15
1482.11,1294.68,97.10
1482.30,1294.72,97.13
1482.24,1294.48,97.04
1482.87,1294.72,97.44
1482.97,1294.70,97.42
1482.97,1294.73,97.42
1482.71,1294.81,97.39
1482.78,1294.83,97.39
1482.79,1294.81,97.39
1482.63,1294.67,97.32
1482.95,1294.98,97.35
1482.56,1294.91,97.33
1482.94,1294.68,97.30
1482.93,1294.69,97.31
1482.95,1294.86,97.30
1482.57,1294.90,97.31
1482.56,1294.90,97.31
1482.59,1294.81,97.30
1482.83,1294.87,97.29
1482.75,1294.99,97.36
1482.55,1294.80,97.29
1482.76,1294.87,97.29
1482.75,1294.84,97.30
1482.58,1294.82,97.27
1482.57,1294.84,97.27
1482.62,1294.80,97.27
1482.74,1294.79,97.28
1482.71,1294.56,97.26
1482.68,1294.70,97.19
1482.70,1294.69,97.24
1482.73,1294.91,97.17
1482.74,1294.90,97.16
1482.74,1294.69,97.17
1482.72,1294.62,97.19
1482.75,1294.62,97.17
1482.92,1294.72,97.15
1482.90,1294.72,97.14
1483.46,1294.72,98.83
1483.45,1294.71,98.82
1483.99,1294.82,98.41
1483.97,1294.82,98.42
1483.98,1294.81,98.40
1483.99,1294.80,98.40
1483.98,1294.81,98.41
1483.03,1294.92,98.35
1483.59,1294.68,98.30
1483.59,1294.69,98.29
1483.55,1294.66,98.31
1483.55,1294.68,98.30
1483.49,1294.69,98.31
1483.50,1294.71,98.30
1483.42,1294.64,98.31
1483.40,1294.62,98.29
1483.30,1294.82,98.31
1483.31,1294.82,98.31
1483.27,1294.93,98.34
1483.25,1294.94,98.33
1483.61,1294.71,98.31
1483.63,1294.72,98.30
1483.66,1294.93,98.30
1483.65,1294.95,98.30
1483.67,1294.93,98.32
1483.68,1294.95,98.31
1483.64,1294.94,98.30
1483.66,1294.94,98.30
1483.67,1294.86,98.28
1483.65,1294.83,98.28
1483.64,1294.78,98.29
1483.64,1294.77,98.30
1483.67,1294.72,98.30
1483.67,1294.73,98.30
1483.96,1294.84,98.29
1483.98,1294.83,98.30
1483.69,1294.83,98.28
1483.70,1294.85,98.28
1483.78,1294.91,98.27
1483.78,1294.92,98.28
1483.65,1294.75,98.29
1483.67,1294.77,98.29
1483.67,1294.68,98.29
1483.67,1294.67,98.28
1483.91,1294.67,98.26
1483.91,1294.65,98.27
1483.91,1294.63,98.27
1483.93,1294.63,98.28
1483.77,1294.78,98.27
1483.79,1294.77,98.28
1483.65,1294.59,98.29
1483.63,1294.60,98.29
1483.82,1294.53,98.27
1483.84,1294.53,98.28
1483.86,1294.58,98.28
1483.84,1294.58,98.27
1483.86,1294.54,98.26
1483.88,1294.55,98.26
1483.90,1294.55,98.26
1483.92,1294.57,98.27
1483.97,1294.67,98.27
1483.94,1294.66,98.27
1483.89,1294.56,98.27
1483.88,1294.57,98.26
1483.72,1294.87,98.27
1483.72,1294.88,98.27
1483.74,1294.79,98.28
1483.76,1294.77,98.27
1483.74,1294.72,98.27
1483.74,1294.73,98.27
1483.80,1294.65,98.26
1483.80,1294.66,98.26
1483.85,1294.59,98.27
1483.85,1294.60,98.27
1483.90,1294.60,98.26
1483.91,1294.61,98.26
1483.62,1294.58,98.28
1483.64,1294.59,98.28
1483.70,1294.64,98.28
1483.71,1294.65,98.27
1483.84,1294.68,98.26
1483.84,1294.65,98.25
1483.84,1294.62,98.26
1483.84,1294.63,98.26
1483.81,1294.63,98.26
1483.83,1294.63,98.26
1483.82,1294.59,98.27
1483.82,1294.57,98.26
1483.74,1294.82,98.25
1483.75,1294.81,98.27
1483.72,1294.72,98.29
1483.72,1294.74,98.28
1483.69,1294.58,98.27
1483.66,1294.58,98.28
1483.75,1294.62,98.26
1483.74,1294.60,98.27
1483.76,1294.58,98.27
1483.77,1294.57,98.27
1483.75,1294.55,98.27
1483.75,1294.57,98.28
1483.79,1294.61,98.26
1483.78,1294.59,98.26
1483.73,1294.66,98.27
1483.73,1294.67,98.27
1483.66,1294.59,98.27
1483.68,1294.58,98.27
1483.80,1294.65,98.26
1483.78,1294.65,98.26
1483.77,1294.58,98.27
1483.77,1294.60,98.26
1483.78,1294.59,98.26
1483.78,1294.61,98.26
1483.84,1294.65,98.27
1483.83,1294.62,98.26
1483.83,1294.62,98.26
1483.82,1294.64,98.27
1483.80,1294.56,98.26
1483.81,1294.54,98.27
1483.77,1294.55,98.27
1483.79,1294.56,98.27
1483.70,1294.74,98.28
1483.72,1294.76,98.27
1483.80,1294.62,98.26
1483.80,1294.54,98.26
1483.81,1294.57,98.28
1483.69,1294.69,98.27
1483.71,1294.69,98.29
1483.67,1294.55,98.28
1483.69,1294.55,98.27
1483.79,1294.64,98.25
1483.77,1294.63,98.26
1483.80,1294.64,98.25
1483.79,1294.65,98.25
1483.99,1294.65,98.23
1483.81,1294.98,98.21
1483.80,1294.99,98.20
1483.51,1294.92,98.14
1483.54,1294.93,98.15
1483.37,1294.83,98.15
1483.33,1294.98,98.15
1483.14,1294.86,98.15
1483.53,1294.98,98.15
1483.63,1294.98,98.14
1483.98,1294.77,98.12
1483.95,1294.94,98.12
1483.94,1294.74,98.11
1483.98,1294.78,98.11
1483.27,1294.89,98.01
1483.96,1294.72,98.01
1483.26,1294.85,97.94
1483.19,1294.91,97.92
1483.76,1294.66,97.99
1483.98,1294.81,98.40
1483.60,1294.56,97.91
1483.14,1294.70,97.86
1483.14,1294.69,97.84
1483.71,1294.65,97.88
1483.10,1294.70,97.81
1483.08,1294.77,97.80
1483.05,1294.78,97.80
1483.19,1294.92,97.82
1483.69,1294.55,97.81
1483.07,1294.88,97.77
1483.22,1294.84,97.75
1483.92,1294.03,97.70
1483.89,1294.06,97.69
1483.35,1294.98,97.56
1483.38,1294.94,97.61
1483.14,1294.72,97.53
1483.12,1294.73,97.51
1483.71,1294.98,97.46
1483.64,1294.83,97.45
